tSNE1	tSNE2	Type	Embryo	APcluster	Merge_Type	APcluster_Merge
HE24W_EVT_sc153	3.4639413844722	-28.8024812481416	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc154	3.92925979253389	-32.0898222119567	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc155	8.09859169021138	-30.4372322203172	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc156	9.9357229928139	-32.3840968493847	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc157	8.84304364336608	-31.2641796012919	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc158	6.78003415589249	-33.409449938864	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc159	8.73664396115221	-30.7657112828609	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc16	10.5688267531704	-22.7838294451557	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc161	13.4327696933046	-29.5626369753937	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc162	5.27008044447849	-33.1094961857197	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc163	11.7438328827518	-32.0091692699119	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc164	10.2223549720991	-32.2780611977493	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc165	9.26760489551519	-33.2682236549277	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc166	7.70045351551213	-33.0635832222717	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc167	9.30572443372953	-33.8096498739697	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc168	2.9842472595227	-32.8534006339087	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc169	7.60194943067591	-32.6423407317657	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc17	13.6397147775116	-28.3568134402589	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc170	9.89157903219215	-32.9015315173313	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc171	5.47067849113143	-29.8799359845689	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc172	2.68279264384011	-28.6130170625879	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc173	2.20761427056893	-32.7187066131416	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc174	2.29178709363873	-32.7781552155212	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc175	3.9003810848408	-32.5950847117587	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc176	2.26148032592522	-28.4613294495285	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc177	8.95303827480707	-32.6108946266683	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc178	3.99592360917861	-28.9193817168099	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc179	3.44509190033941	-28.9165415461763	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc18	11.007105211813	-22.617243548354	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc180	8.6008040292033	-33.5392176484508	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc181	2.73722909452413	-31.8675560702054	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc182	1.95509111737798	-28.7746345587639	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc183	9.74395897267156	-33.0763927382706	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc184	1.72304438316818	-29.6564456162227	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc185	2.34286251962498	-31.8427965154048	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc186	4.74036727429544	-33.1879656189265	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc188	10.6984911368315	-32.704531710755	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc189	11.5592149512278	-31.6676796851349	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc19	13.9210153444913	-29.2699478833469	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc190	12.8963314680137	-30.7540070711234	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc191	13.0421816847487	-30.2530845030878	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc192	11.7740081009423	-31.898695788606	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc193	4.13236649666275	-29.186869229906	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc194	3.66880321752235	-28.2988065285434	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc195	4.56941131824593	-31.4678406182953	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc196	1.99686413619059	-30.5825199778457	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc197	6.06718193159463	-32.0792415105569	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc198	7.87529289245954	-33.4735184760938	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc199	5.20773023840021	-31.3745179047414	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc2	11.1875752479245	-23.1546645427417	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc20	11.3773312918166	-22.9015404239214	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc21	11.3747146886536	-22.4413053437561	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc22	13.6949408158573	-29.7994903830248	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc23	13.9166299653979	-28.6180087420923	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc24	13.7190326148523	-27.5272530894803	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc25	11.399057720812	-24.2993650009976	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc26	26.9043962288268	8.07577078314693	HE24W_EVT	E5	12	STB	12
HE24W_EVT_sc27	26.9778307718528	7.87939646005576	HE24W_EVT	E5	12	STB	12
HE24W_EVT_sc28	13.6511854780892	-26.0690450848546	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc29	13.5178526254982	-28.531220159765	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc3	11.3381932110466	-22.5617510330093	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc30	13.7975280213533	-28.6672404348064	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc31	12.734637801307	-26.1412525931992	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc32	13.2349061124996	-28.0387199731684	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc33	11.2234037556086	-23.621500792938	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc34	11.3087287451117	-23.3248580072415	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc35	13.8830462030171	-25.4772495150338	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc36	13.4465801501715	-25.2130588492305	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc37	12.7744345975717	-26.3453472306011	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc38	11.490814342111	-23.9091240728204	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc39	13.6744657589714	-28.3224449787505	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc4	12.7023466375939	-26.5323185771831	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc40	13.6602043581581	-29.3263027469121	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc41	14.1205966545955	-22.2286680004106	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc42	14.032134061507	-22.091092967431	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc43	13.6350927579116	-22.9011920485022	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc44	12.9155465806613	-21.5129023972364	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc45	13.0180481875709	-21.8522415868385	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc46	13.095353738107	-22.5208442645421	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc47	15.2571452554419	-24.4783407687578	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc48	12.9069753374113	-21.3567514997084	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc49	15.5983386947682	-23.6889862016315	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc5	13.354889257952	-27.9101456349242	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc50	12.8490487660143	-20.7096561193478	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc51	9.79404542151782	-20.9450247889637	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc52	10.4438302365907	-21.1828019504652	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc53	9.97131069899552	-19.4265696162228	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc54	14.7029117782534	-22.1109804321229	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc55	9.38722569926239	-20.6554189191418	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc56	14.1531101749023	-22.4317439763113	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc57	12.2534726480659	-21.4562917146557	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc58	13.6171701123165	-21.920437025954	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc59	12.2436659643937	-24.1572859193626	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc6	12.1842461092874	-22.6751294646427	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc60	9.52720778688776	-21.4341876226389	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc61	14.0330034071201	-21.3061495182758	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc62	15.5897277562836	-23.3287370267085	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc63	10.4935588839942	-19.3169853468011	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc64	13.6464442509132	-26.4325614937999	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc65	13.8622610501412	-23.1840165266347	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc66	12.7592313884672	-21.3604664305054	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc67	9.95999468223218	-21.2982936173893	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc68	12.9530319745382	-21.5190693939289	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc69	15.0503490689035	-22.6455648837369	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc7	12.8500212269829	-28.4190644208433	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc70	12.6174456177133	-21.2861609495196	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc71	14.3457928975067	-23.9699039835244	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc72	15.7084153954422	-23.1653300716266	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc73	15.1019919102036	-22.0928313076296	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc75	13.1166694440861	-21.9845627268763	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc76	14.7919896922601	-21.9483339794116	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc77	11.5404322980607	-22.0048068617323	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc78	14.8007784998143	-23.3481904345596	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc79	13.7128858223505	-23.5070757962637	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc81	12.8759245233972	-27.7481256759669	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc82	5.00019796996794	-32.5674869143283	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc83	6.57412281152922	-33.5458034986931	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc84	3.63139676773147	-34.0842436225203	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc85	5.67061912448771	-30.6822239541927	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc86	2.34588983997077	-32.6090736414067	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc87	2.15045015014271	-28.4449144539624	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc88	1.27978055715611	-30.9878426694472	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc89	10.2588944001867	-33.9100031731941	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc9	11.3573792775613	-24.4067443378897	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc90	3.92098985812666	-30.1715456512414	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc91	4.13423109430835	-30.2791157372515	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc92	14.8090639673082	-28.9535990935779	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc93	11.5661461378288	-31.385776848417	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc94	5.31189942165259	-31.1779431414472	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc95	1.90337513347267	-32.4932818162916	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc96	11.9227924328599	-31.3904545629239	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc97	10.6977345533846	-32.3427148602447	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc98	13.0228584975333	-27.9660384133728	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc99	13.2182219554799	-29.2725428545102	HE24W_EVT	E5	2	EVT_24W	2
HE8W_CTB2_sc1	6.66734938154724	20.6415152227601	HE8W_CTB	E1	6	CTB	6
HE8W_CTB2_sc10	18.2888456471296	17.9605347752257	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc11	12.1984188791552	27.5415716262269	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc12	7.90253402211218	25.0257361138571	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc13	-24.8997161454553	6.24550076386429	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc14	12.3256535535925	27.9594503590321	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc15	12.5423270343696	27.4175158394258	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc16	8.06767244082476	22.6670548191294	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc17	6.86113421813845	24.4362109931998	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc18	12.5266499859541	22.2013395335299	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc19	5.2191332385965	21.6494782217401	HE8W_CTB	E1	6	CTB	6
HE8W_CTB2_sc2	-3.9149951690886	-9.93875666038954	HE8W_CTB	E1	10	EVT_8W	7
HE8W_CTB2_sc20	-25.836437664588	4.07016372428755	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc21	15.3454630217463	20.9258425492374	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc22	9.4811786642133	24.674030132285	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc24	-24.8179607829801	4.24917794083796	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc25	13.4863356583698	24.8298247253313	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc26	12.37537434091	6.89956324087914	HE8W_CTB	E1	8	EVT_8W	8
HE8W_CTB2_sc27	6.52536346366957	23.0207862655566	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc28	6.39771543674992	21.3114967674372	HE8W_CTB	E1	6	CTB	6
