tSNE1	tSNE2	Type	Embryo	APcluster	Merge_Type	APcluster_Merge
HE8W_CTB2_sc72	9.91192778122609	25.7083583196901	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc73	10.5910141478361	26.4132421532674	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc74	14.4950841548598	20.5036355676693	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc75	8.95960398200349	23.106567747469	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc78	-24.181791446764	6.83163550379775	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc79	7.3758977699959	23.6831244350556	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc8	18.5972694589438	19.1428229236921	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc80	10.2883526755024	25.5387797558592	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc81	-15.7159379916561	8.1856348103013	HE8W_CTB	E1	15	Marc	15
HE8W_CTB2_sc83	-24.0415910957895	5.98514464826985	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc84	-25.0941328501099	5.58775389488681	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc85	-23.0759166614729	7.26340497381829	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc86	10.3061711363928	22.8790191335511	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc87	11.3003721668504	25.1093727446736	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc88	12.6269391380199	27.5354678181656	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc89	7.41429719511315	24.4153724967484	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc9	6.91188955842647	26.9447145358822	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc90	6.95441204606935	20.8477607256987	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc1	4.22106580983543	20.7743681442019	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc10	17.6304564041289	19.3696382911901	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc11	10.918880808679	25.620734140685	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc12	10.6897409194757	23.5099697692843	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc13	11.7164024130812	27.5911998231534	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc14	11.8628255686612	25.7231072134454	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc15	10.8110450611183	27.5168023123353	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc16	9.9925613902498	21.0817048074422	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc17	9.78025199442667	20.2304416220172	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc18	11.8452969282121	27.3273150476338	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc19	-24.6358300677135	6.2005133047448	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc2	19.1751308165036	18.8998430021358	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc20	18.5186485633111	18.6866056040827	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc21	18.7207283095205	19.0410232925383	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc22	10.1540031978621	23.5760392121216	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc24	10.6143923422964	24.1000471845979	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc25	-27.0645271227444	5.26953305214374	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc26	9.10263177633066	23.60276558194	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc27	-24.2944000483364	6.70745056749104	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc28	-23.6287860555689	7.2974773940371	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc29	9.62161405949661	21.4934208316794	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc3	11.4407014961485	25.8128248934172	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc30	8.73828452082355	20.9610683071613	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc31	11.5359123426522	25.9093105444316	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc32	7.57524394100343	21.8404421169392	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc33	13.1013993794194	26.5193920082038	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc35	8.6840207208391	22.7706368063159	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc36	4.52023813017629	20.7739069299355	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc37	11.9695784842881	23.369040580173	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc38	-23.6631625591786	6.97971550016232	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc39	4.90228587495099	20.6759911615916	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc4	-22.3630434031465	7.96622554961991	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc40	9.16485593867717	20.8366855952415	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc41	-26.858031488433	4.59465026668374	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc42	11.0489850832584	24.0793757505545	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc43	8.20080840635977	24.6915177762269	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc44	6.35837976894638	20.9327347956304	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc45	16.6609699777078	19.9799223528735	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc46	12.8228904061104	27.7427839575499	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc47	16.5477194665379	19.9239039729167	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc48	19.0010186875602	18.3238691327635	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc49	19.4474519906391	18.8966684563088	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc5	18.9237288232915	18.7117400594633	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc50	1.10501516706954	3.40335136497903	HE8W_CTB	E1	9	EVT_8W	8
HE8W_CTB3_sc51	9.76647120750268	22.436389415516	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc52	12.2630352404126	26.9392965985071	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc53	3.3600452673102	21.7752903120454	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc54	20.2997852611005	18.5580672175256	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc55	4.26950601113824	21.4837345682372	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc56	6.71210678609286	24.1299206870503	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc57	7.2630395751774	21.1194183581115	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc59	16.2536251490293	20.3375515475676	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc60	7.09536667505764	22.8882318563255	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc61	10.405834633132	26.0778296356411	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc62	6.94725681039715	21.6342845215171	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc63	6.31825283152634	21.5647896210015	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc64	4.69236527830086	20.2905821316603	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc65	5.36649849709386	21.0143253495017	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc66	12.5322960815879	25.6228436080773	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc67	12.0013896130209	26.1849293928114	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc68	18.1231915256695	19.0574949040141	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc69	8.55332034669693	25.3415689616943	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc7	8.97140459184814	20.1358726750872	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc70	-2.54696234194786	-10.329513036601	HE8W_CTB	E1	10	EVT_8W	7
HE8W_CTB3_sc71	6.22358175419657	20.5791619105156	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc72	14.5711323850878	21.0061616111675	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc73	6.37811346038409	21.9107066258999	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc74	10.6761797390508	25.0794275316831	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc75	7.30463822951392	23.7642069083882	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc76	11.3762906496937	24.8275785866704	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc77	5.02919685621912	21.6776218485887	HE8W_CTB	E1	6	CTB	6
HE8W_CTB3_sc78	7.0211798817038	22.7020566813253	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc79	-23.8926307173203	6.86481361031766	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc8	7.29067964830762	26.1581499645802	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc80	11.609556298793	25.6398390090974	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc81	13.9675282998047	20.8176193597796	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc82	8.99598401784542	22.731811721825	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc83	11.0520587472472	26.6649959590508	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc84	-20.7337475706833	1.68581451968595	HE8W_CTB	E1	15	Marc	15
HE8W_CTB3_sc86	8.47851774176326	21.1683477771675	HE8W_CTB	E1	4	CTB	4
HE8W_CTB3_sc87	-15.8242862673702	7.91938460674107	HE8W_CTB	E1	15	Marc	15
HE8W_CTB3_sc88	17.0336147632388	19.8151162128588	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc89	17.9136096569126	19.8051403630302	HE8W_CTB	E1	3	CTB	3
HE8W_CTB3_sc9	-23.9567145552835	7.53896053139812	HE8W_CTB	E1	5	Marc	5
HE8W_CTB3_sc90	10.1750248912055	21.4446933079037	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc43	-24.3021926832335	6.58443976555444	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc44	-2.84908153370486	-10.6434159990087	HE8W_CTB	E1	10	EVT_8W	7
HE8W_CTB4_sc45	11.7411504345718	28.0284842929278	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc46	-21.7082510347563	7.97751419550057	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc47	8.96450456892021	27.0924454734552	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc48	15.1413554880934	22.944841585538	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc49	15.2238552441338	21.0264925134971	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc50	-20.6031061564878	1.83555249900574	HE8W_CTB	E1	15	Marc	15
HE8W_CTB4_sc51	15.3813252455375	21.4023102058439	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc52	-24.0823621784845	7.35438801739415	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc53	9.70211649794388	27.2895127825733	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc54	8.33936773272747	20.4860020335766	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc55	18.5092005046677	17.6084079989068	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc56	18.9109000491407	18.7060334476856	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc57	9.57635140918654	23.8325730190306	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc58	-21.4432674760771	8.05579342554904	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc59	4.76311280201108	19.6840352713856	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc60	13.3041501794499	26.3001498758856	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc61	-14.1821064832344	-17.1299650322332	HE8W_CTB	E1	13	Blood	13
HE8W_CTB4_sc62	6.41048717537418	20.0128606022143	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc64	9.78544552735665	19.9656373684785	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc65	19.011381897187	18.9631464599603	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc66	24.4780279624086	11.6124312720171	HE8W_CTB	E1	12	STB	12
HE8W_CTB4_sc67	5.57740454805868	18.9640623197472	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc68	8.9429671306883	26.8292431390619	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc69	16.7300894193485	18.7389214064353	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc70	-25.6315110226732	4.07940879467438	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc71	-27.1156817383647	4.82412121479548	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc72	4.71809408032772	20.7469950050654	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc73	17.5138098205051	19.2406600469016	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc74	-26.6089682013982	4.6419092458682	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc75	3.56130871158442	21.4735441223729	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc76	10.4974426208479	20.1179476557201	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc77	18.3972068290273	19.2386660209766	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc78	4.82549285380935	20.4702371632655	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc79	10.3162445041604	24.0616850507503	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc80	9.36876946585488	20.0022003711007	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc81	9.15068704973384	24.0509191747504	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc82	-26.2630313885011	7.57494708344618	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc83	-25.1793706379933	6.29626842514885	HE8W_CTB	E1	5	Marc	5
HE8W_CTB4_sc85	6.91350154900032	25.755071385925	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc86	18.0300797281456	18.0609006539332	HE8W_CTB	E1	3	CTB	3
HE8W_CTB4_sc87	12.0216018042701	27.5830659764779	HE8W_CTB	E1	4	CTB	4
HE8W_CTB4_sc88	4.51414011886219	20.7721133718506	HE8W_CTB	E1	6	CTB	6
HE8W_CTB4_sc89	-10.1251228373344	29.5227922152946	HE8W_CTB	E1	17	Mes	17
HE8W_CTB4_sc90	-26.9886423468135	4.87971498600722	HE8W_CTB	E1	5	Marc	5
HE8W_CTB_sc1	19.2029818033987	18.9611584266595	HE8W_CTB	E4	3	CTB	3
HE8W_CTB_sc11	1.0099855462547	4.52399581200457	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc12	2.35125026065708	4.54244627439307	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc13	7.80158335995186	3.994427635035	HE8W_CTB	E4	8	EVT_8W	8
HE8W_CTB_sc14	4.29709099706695	23.1688268712682	HE8W_CTB	E4	6	CTB	6
HE8W_CTB_sc15	5.0402782112719	23.8006705859342	HE8W_CTB	E4	4	CTB	4
HE8W_CTB_sc16	3.35978904649758	19.7939192114833	HE8W_CTB	E4	6	CTB	6
HE8W_CTB_sc17	0.694331861773075	6.07659106461395	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc18	4.60984567570115	19.0457076783479	HE8W_CTB	E4	6	CTB	6
HE8W_CTB_sc19	5.20792170814667	25.7178366226927	HE8W_CTB	E4	4	CTB	4
HE8W_CTB_sc2	0.553614693604514	5.47769140099598	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc20	3.53799354906893	14.6611061138229	HE8W_CTB	E4	6	CTB	6
HE8W_CTB_sc21	-28.140671167724	10.0688614149407	HE8W_CTB	E4	5	Marc	5
HE8W_CTB_sc22	1.16533511933367	4.88305644393157	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc23	4.37516860253229	19.297449953488	HE8W_CTB	E4	6	CTB	6
HE8W_CTB_sc24	16.8837718711631	17.8008416363771	HE8W_CTB	E4	3	CTB	3
HE8W_CTB_sc3	0.512426227264539	4.96326114946928	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc4	0.567984129758034	5.74987756706408	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc5	0.555459813875261	4.72604134042903	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc6	0.926160284270661	4.97707603141249	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc7	0.116223371515048	4.93137690367515	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc8	0.693219849757267	5.1588106454057	HE8W_CTB	E4	9	EVT_8W	8
HE8W_CTB_sc9	0.0810839605282592	5.24205598584585	HE8W_CTB	E4	9	EVT_8W	8
HE8W_EVT_sc10	0.706008596496353	-20.0075564789729	HE8W_EVT	E3	11	EVT_8W	11
HE8W_EVT_sc100	4.76411601536369	-12.2294392092593	HE8W_EVT	E1	7	EVT_8W	7
HE8W_EVT_sc101	3.01270203489033	-22.4213499561078	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc102	4.87450297946222	-18.8504784575695	HE8W_EVT	E1	7	EVT_8W	7
HE8W_EVT_sc103	8.85613447836542	-29.8282189032489	HE8W_EVT	E1	1	EVT_24W	1
HE8W_EVT_sc104	-1.28189221198787	-7.59819020966828	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc105	-1.93520897140719	-5.01107076142894	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc106	0.472553242603832	-24.8635302540266	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc107	-0.314450921913054	-25.2241594492	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc108	-1.9818662418584	-4.91185244401261	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc109	4.47306200210575	-11.9767300905334	HE8W_EVT	E1	7	EVT_8W	7
HE8W_EVT_sc11	1.1525629507753	-27.552395498559	HE8W_EVT	E3	11	EVT_8W	11
HE8W_EVT_sc110	-2.36275835653743	-3.88388820462524	HE8W_EVT	E1	9	EVT_8W	8
HE8W_EVT_sc111	-1.56593602532622	-24.4596854655382	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc112	2.66007409115047	-22.7256408648321	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc113	-0.281951867238543	-26.011761051582	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc114	-0.545722284935366	-7.79142024119634	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc115	-1.83260731861527	-4.69720362130764	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc116	-1.54690941326342	-10.1876559721882	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc117	-0.0876173512618997	-24.5020798256836	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc118	-1.1581061558101	-24.9164794733984	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc119	1.44284174480175	-26.0472113793247	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc12	1.81669220173606	-10.7893053655526	HE8W_EVT	E3	10	EVT_8W	7
HE8W_EVT_sc120	-1.87949379135475	-7.95619773985613	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc121	2.15404985014842	-10.910196250942	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc122	-0.7638047917679	-7.66871208569243	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc123	0.162065235259333	-20.7813293390031	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc124	-1.18635503342427	-25.0104736703273	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc125	0.5060433878131	-25.5036115029696	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc126	1.9649440125533	-25.1043175775096	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc127	1.21133886942177	-22.4045807572925	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc128	6.09492083994764	-13.2106661615159	HE8W_EVT	E1	7	EVT_8W	7
HE8W_EVT_sc129	-2.67427540067584	-9.98792832704092	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc13	1.97255663422817	-9.50903797209547	HE8W_EVT	E3	10	EVT_8W	7
HE8W_EVT_sc130	-1.08334796836703	-7.90568476499837	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc131	-1.80222731247262	-6.02739377938333	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc132	1.02500422791212	-23.5512749352656	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc133	-1.9893206753848	-5.35965790506217	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc134	4.50200236385877	-19.9181235443137	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc135	0.883986038319808	-24.9938127209348	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc136	-0.250142982348429	-26.353167439086	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc137	1.65882110415388	-24.0604359427947	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc138	-0.225563420942771	-25.910503875379	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc139	1.3706216297115	-24.8584310696138	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc14	-1.03412719260672	-11.1676330803243	HE8W_EVT	E3	10	EVT_8W	7
HE8W_EVT_sc140	-0.537190839432068	-24.9556990396123	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc141	2.5561165262755	-23.4818182267646	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc142	-0.0583342302453038	-3.9733332513504	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc143	-1.61642415528786	-6.9175720364708	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc144	-1.51762692914522	-7.1175976497892	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc145	-2.07765150445134	-10.5736585492748	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc146	-1.94723579388217	-5.6718199113794	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc147	-0.0126597634748882	-25.5090015952005	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc148	6.9496474917784	-19.4108790397411	HE8W_EVT	E1	7	EVT_8W	7
HE8W_EVT_sc149	-1.89522762761502	-5.33644906232714	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc15	1.33254645459768	-7.3997007700613	HE8W_EVT	E3	10	EVT_8W	7
HE8W_EVT_sc150	3.34315030295732	-22.2857090320641	HE8W_EVT	E1	11	EVT_8W	11
HE8W_EVT_sc151	-24.5246958938374	6.84381828070715	HE8W_EVT	E1	5	Marc	5
HE8W_EVT_sc152	-1.91762116956096	-5.51624553901711	HE8W_EVT	E1	10	EVT_8W	7
HE8W_EVT_sc153	8.62848392995273	-11.8217637116608	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc154	12.6887169043025	5.97052822316243	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc155	10.9235998219702	3.34502652210887	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc156	11.2706006288011	-1.51243358469747	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc157	12.3922758420482	3.09491594045056	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc158	13.1894370786201	4.4233269902992	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc159	11.9751040265803	3.93961595611398	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc16	1.82713198699317	-9.43622846560477	HE8W_EVT	E3	10	EVT_8W	7
HE8W_EVT_sc160	7.24434557648391	-11.032523581896	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc161	13.4191534766393	4.93212794476009	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc162	6.95643856059796	-10.4838802866283	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc163	7.43649514146586	-11.5539682278215	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc164	-3.90132510284354	-9.19897125045408	HE8W_EVT	E6	10	EVT_8W	7
HE8W_EVT_sc165	11.3495126795189	5.17466273624761	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc166	10.938597748818	0.832355729967092	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc167	11.9334591606413	5.55509341544509	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc168	11.0521732219005	0.727241897625727	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc169	11.9994294371081	2.07579984827439	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc17	1.21346669134039	-7.90464702695724	HE8W_EVT	E3	10	EVT_8W	7
HE8W_EVT_sc170	7.30819982836093	-13.3502081604503	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc171	11.6305059949149	4.66872859842486	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc172	12.403966713407	-1.81390166902633	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc173	11.6434488336553	3.53278899483858	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc174	13.1605300924581	2.03128428809818	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc175	12.6435519575031	-1.36164377777484	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc176	7.65586153523885	-13.1384695590117	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc177	7.92597380677088	-13.9166355396225	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc178	10.7692415961814	-0.627290759841147	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc179	11.4013832087785	-0.874820980873047	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc18	-0.285742216976727	-21.9890811233137	HE8W_EVT	E3	11	EVT_8W	11
HE8W_EVT_sc180	12.1531023322527	3.93777052880347	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc181	-25.1842701944657	11.1928267852535	HE8W_EVT	E6	5	Marc	5
HE8W_EVT_sc182	10.5966982771337	-0.451236474436504	HE8W_EVT	E6	14	EVT_8W	7
HE8W_EVT_sc183	-4.02426473090964	-8.98650265009874	HE8W_EVT	E6	10	EVT_8W	7
HE8W_EVT_sc184	7.37195154655156	-12.9550893787652	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc185	-8.23666977544173	29.8630141064056	HE8W_EVT	E6	17	Mes	17
HE8W_EVT_sc186	11.6863944380204	5.50335480455193	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc187	11.3354930994735	6.49095579718585	HE8W_EVT	E6	8	EVT_8W	8
HE8W_EVT_sc188	7.50145635662925	-14.207937586476	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc189	7.43557086088166	-14.1696222372258	HE8W_EVT	E6	7	EVT_8W	7
HE8W_EVT_sc19	1.05191729786277	-9.22290273227814	HE8W_EVT	E3	10	EVT_8W	7
